PRODUCT_ID,PRODUCT_NAME,CATEGORY,PRICE,STOCK_QTY
49,Travel Protein Bar - Model 49,Toys,369.19,6148
50,Portable Router - Model 50,Grocery,70.42,4549
51,Durable Water Bottle - Model 51,Home & Kitchen,52.63,0
52,Durable Skincare Kit - Model 52,Books,35.80,1750
53,Advanced Headphones - Model 53,Automotive,41.63,3870
54,Advanced Mouse - Model 54,Grocery,365.97,4576
55,Advanced Drone - Model 55,Office,38.27,2785
56,Max Yoga Mat - Model 56,Books,334.93,2053
57,Kids Water Bottle - Model 57,Office,252.03,0
58,Ultra Toy Set - Model 58,Automotive,275.37,1467
59,Advanced Mouse - Model 59,Office,10.09,5333
60,Classic Camera - Model 60,Grocery,5.01,6191
61,Smart Yoga Mat - Model 61,Sports,7.48,2606
62,Ultra Headphones - Model 62,Sports,249.75,2175
63,Ultra Speaker - Model 63,Fashion,48.07,3916
64,Premium Face Serum - Model 64,Office,74.30,3239
65,Smart Skincare Kit - Model 65,Automotive,282.87,3185
66,Premium Car Charger - Model 66,Electronics,375.05,1734
67,Premium Mouse - Model 67,Grocery,11.28,5779
68,Travel Speaker - Model 68,Toys,35.41,1939
69,Advanced Air Fryer - Model 69,Electronics,147.46,5522
70,Advanced Drone - Model 70,Toys,196.73,3697
71,Wireless Keyboard - Model 71,Office,356.57,4042
72,Wireless Mouse - Model 72,Toys,289.96,3097
73,Max Notebook - Model 73,Home & Kitchen,69.85,2222
74,Smart Skincare Kit - Model 74,Home & Kitchen,167.64,6837
75,Compact Face Serum - Model 75,Automotive,90.35,7295
76,Wireless Car Charger - Model 76,Books,317.01,6257
77,Premium Water Bottle - Model 77,Fashion,209.52,5995
78,Premium Toy Set - Model 78,Sports,201.87,1240
79,Max Keyboard - Model 79,Grocery,19.85,567
80,Max Mouse - Model 80,Beauty,7.37,6863
81,Max Router - Model 81,Electronics,341.02,5480
82,Classic Jacket - Model 82,Books,32.05,7838
83,Travel Blender - Model 83,Grocery,460.01,1967
84,Portable Car Wax - Model 84,Beauty,147.16,44
85,Smart Notebook - Model 85,Toys,126.52,3549
86,Advanced Toy Set - Model 86,Office,106.97,2827
87,Advanced Coffee Maker - Model 87,Sports,182.79,4268
88,Advanced Coffee Maker - Model 88,Automotive,125.99,579
89,Max Camera - Model 89,Electronics,5.01,2103
90,Max Drone - Model 90,Grocery,115.04,4131
91,Kids Running Socks - Model 91,Toys,142.33,3022
92,Max Water Bottle - Model 92,Automotive,305.18,5986
93,Classic Car Wax - Model 93,Toys,170.04,0
94,Eco Speaker - Model 94,Sports,1173.83,5294
95,Travel Vacuum - Model 95,Sports,498.28,2297
96,Kids USB Hub - Model 96,Grocery,446.13,2284
97,Portable Camera - Model 97,Sports,212.96,4621
98,Durable USB Hub - Model 98,Grocery,224.08,3078
99,Classic Yoga Mat - Model 99,Home & Kitchen,203.89,5698
100,Advanced Yoga Mat - Model 100,Beauty,5.01,5325
101,Classic Router - Model 101,Office,205.12,3945
102,Ultra Office Chair - Model 102,Home & Kitchen,108.82,4524
103,Advanced Skincare Kit - Model 103,Beauty,53.91,5862
104,Wireless Blender - Model 104,Automotive,140.47,4235
105,Max Mouse - Model 105,Office,206.47,7593
106,Classic Water Bottle - Model 106,Books,165.52,2665
107,Advanced Desk Lamp - Model 107,Sports,323.95,1330
108,Travel Router - Model 108,Office,2079.33,5898
109,Max Yoga Mat - Model 109,Fashion,72.93,7790
110,Smart Backpack - Model 110,Toys,245.98,4008
111,Pro Running Socks - Model 111,Grocery,5.00,5790
112,Lite Car Charger - Model 112,Fashion,36.96,1866
113,Classic Headphones - Model 113,Home & Kitchen,445.88,1396
114,Classic Keyboard - Model 114,Sports,92.14,5897
115,Travel Cookware Set - Model 115,Automotive,102.63,5110
116,Max Air Fryer - Model 116,Electronics,42.93,6237
117,Portable Camera - Model 117,Electronics,76.23,4195
118,Pro Speaker - Model 118,Grocery,473.38,1043
119,Lite Vacuum - Model 119,Books,2031.06,6926
120,Advanced Sneakers - Model 120,Automotive,244.06,5014
121,Ultra Camera - Model 121,Electronics,12.69,4518
122,Travel Face Serum - Model 122,Grocery,11.59,1597
123,Travel USB Hub - Model 123,Office,123.75,1756
124,Pro Coffee Maker - Model 124,Toys,35.05,7415
125,Eco Cookware Set - Model 125,Sports,454.82,37
126,Kids Keyboard - Model 126,Sports,475.08,0
127,Kids Coffee Maker - Model 127,Electronics,1698.41,133
128,Smart Toy Set - Model 128,Sports,15.51,6631
129,Ultra Mouse - Model 129,Beauty,275.12,3723
130,Compact Cookware Set - Model 130,Grocery,308.44,2692
131,Lite Vacuum - Model 131,Sports,5.63,4004
132,Classic Jacket - Model 132,Grocery,7.75,2894
133,Premium Watch - Model 133,Toys,1507.14,6301
134,Premium Face Serum - Model 134,Fashion,349.60,2129
135,Pro Car Wax - Model 135,Office,134.41,907
136,Pro Speaker - Model 136,Grocery,5.59,5257
137,Wireless Car Wax - Model 137,Toys,397.70,4436
138,Compact Desk Lamp - Model 138,Fashion,217.80,0
139,Advanced Monitor - Model 139,Grocery,373.66,4701
140,Classic Running Socks - Model 140,Office,164.19,3457
141,Premium Toy Set - Model 141,Automotive,6.86,0
142,Wireless Cookware Set - Model 142,Home & Kitchen,32.41,6060
143,Advanced Air Fryer - Model 143,Electronics,372.78,6743
144,Advanced Running Socks - Model 144,Home & Kitchen,29.13,3835
145,Smart Sneakers - Model 145,Beauty,50.87,2861
146,Compact Monitor - Model 146,Sports,128.30,1167
147,Max Face Serum - Model 147,Fashion,486.20,2804
148,Eco Car Wax - Model 148,Toys,62.28,1456
149,Eco Coffee Maker - Model 149,Toys,16.32,7882
150,Advanced Car Wax - Model 150,Office,447.61,6113
151,Eco Monitor - Model 151,Toys,82.31,361
152,Smart Jacket - Model 152,Fashion,25.01,2636
153,Wireless Cookware Set - Model 153,Automotive,290.20,4957
154,Compact Skincare Kit - Model 154,Sports,7.24,4971
155,Classic Car Wax - Model 155,Office,15.96,6669
156,Kids USB Hub - Model 156,Fashion,44.88,7749
157,Premium Face Serum - Model 157,Books,253.18,2669
158,Kids Drone - Model 158,Home & Kitchen,219.36,2939
159,Compact Protein Bar - Model 159,Electronics,26.89,3975
160,Compact Yoga Mat - Model 160,Electronics,80.25,1321
161,Wireless Jacket - Model 161,Grocery,167.97,5362
162,Max Toy Set - Model 162,Fashion,55.17,918
163,Ultra Vacuum - Model 163,Home & Kitchen,2439.56,2261
164,Travel Speaker - Model 164,Grocery,411.74,6133
165,Classic Toy Set - Model 165,Home & Kitchen,329.48,6644
166,Lite Skincare Kit - Model 166,Sports,294.21,2653
167,Wireless Cookware Set - Model 167,Beauty,336.75,1560
168,Ultra Sneakers - Model 168,Toys,382.28,0
169,Ultra Car Wax - Model 169,Sports,365.80,4244
170,Classic USB Hub - Model 170,Office,161.24,7191
171,Max Protein Bar - Model 171,Office,301.85,4068
172,Durable Toy Set - Model 172,Office,257.15,2625
173,Kids Face Serum - Model 173,Automotive,73.23,6234
174,Portable Skincare Kit - Model 174,Fashion,9.35,2926
175,Pro Watch - Model 175,Office,227.28,4491
176,Kids Toy Set - Model 176,Automotive,77.07,6459
177,Ultra Watch - Model 177,Home & Kitchen,1685.59,3252
178,Wireless Blender - Model 178,Books,5.13,262
179,Max Sunglasses - Model 179,Sports,17.64,3222
180,Ultra Router - Model 180,Office,398.60,1045
181,Lite Mouse - Model 181,Books,206.06,6981
182,Lite Camera - Model 182,Office,398.03,7413
183,Durable Office Chair - Model 183,Office,9.91,3254
184,Pro USB Hub - Model 184,Office,293.76,4300
185,Compact Router - Model 185,Toys,350.87,162
186,Advanced Sunglasses - Model 186,Home & Kitchen,114.24,4511
187,Portable Camera - Model 187,Office,46.25,3751
188,Classic Sneakers - Model 188,Electronics,117.39,1499
189,Max Camera - Model 189,Office,176.79,6833
190,Ultra Coffee Maker - Model 190,Books,19.91,357
191,Eco Running Socks - Model 191,Toys,6.40,0
192,Durable Toy Set - Model 192,Home & Kitchen,259.95,0
193,Max Mouse - Model 193,Fashion,50.23,5027
194,Smart Air Fryer - Model 194,Automotive,65.34,2798
195,Smart Keyboard - Model 195,Books,85.84,2192
196,Pro Sneakers - Model 196,Toys,385.39,6642
197,Wireless Water Bottle - Model 197,Grocery,439.08,465
198,Durable Skincare Kit - Model 198,Electronics,448.36,68
199,Portable Backpack - Model 199,Automotive,482.53,7668
200,Classic Watch - Model 200,Books,6.14,373
201,Durable Headphones - Model 201,Books,8.47,2000
202,Classic Running Socks - Model 202,Fashion,1400.83,3557
203,Travel Toy Set - Model 203,Home & Kitchen,149.82,508
204,Kids Drone - Model 204,Grocery,405.00,6739
205,Max Cookware Set - Model 205,Toys,49.97,4093
206,Ultra Camera - Model 206,Toys,103.78,5177
207,Lite Notebook - Model 207,Automotive,5.00,7518
208,Pro Notebook - Model 208,Automotive,21.52,2270
209,Wireless Water Bottle - Model 209,Sports,13.35,5213
210,Durable Office Chair - Model 210,Automotive,99.27,7604
211,Smart Yoga Mat - Model 211,Office,8.70,1099
212,Travel Camera - Model 212,Home & Kitchen,11.09,2087
213,Advanced Mouse - Model 213,Books,176.96,7537
214,Ultra Car Charger - Model 214,Grocery,57.19,7522
215,Advanced Jacket - Model 215,Sports,40.41,3309
216,Pro Sunglasses - Model 216,Office,113.68,1810
217,Pro Monitor - Model 217,Toys,272.50,3075
218,Eco Air Fryer - Model 218,Sports,366.61,4923
219,Portable Jacket - Model 219,Electronics,21.55,5223
220,Portable Yoga Mat - Model 220,Home & Kitchen,421.11,2036
221,Portable Notebook - Model 221,Toys,21.13,3536
222,Portable Watch - Model 222,Office,313.41,607
223,Durable Desk Lamp - Model 223,Toys,193.02,266
224,Smart Air Fryer - Model 224,Sports,321.96,3456
225,Eco Car Charger - Model 225,Books,19.75,4612
226,Eco Protein Bar - Model 226,Office,119.82,6108
227,Pro Camera - Model 227,Toys,180.21,1648
228,Advanced Office Chair - Model 228,Automotive,24.58,6673
229,Smart Air Fryer - Model 229,Beauty,291.07,4267
230,Durable Desk Lamp - Model 230,Office,34.50,5248
231,Pro Notebook - Model 231,Grocery,64.24,3714
232,Kids Car Charger - Model 232,Books,171.54,1919
233,Classic Sneakers - Model 233,Books,276.31,4549
234,Compact Car Wax - Model 234,Grocery,15.43,2830
235,Kids Blender - Model 235,Books,40.24,7390
236,Kids Vacuum - Model 236,Fashion,118.93,7956
237,Ultra Keyboard - Model 237,Grocery,461.86,4520
238,Eco Jacket - Model 238,Grocery,91.98,2555
239,Max Mouse - Model 239,Toys,164.03,1996
240,Travel Camera - Model 240,Grocery,413.88,2913
241,Wireless Air Fryer - Model 241,Grocery,42.37,0
242,Max Car Wax - Model 242,Grocery,91.31,5937
243,Kids USB Hub - Model 243,Automotive,387.13,6125
244,Lite Water Bottle - Model 244,Home & Kitchen,10.24,4249
245,Kids Sunglasses - Model 245,Automotive,308.97,6398
246,Lite Skincare Kit - Model 246,Fashion,488.61,5391
247,Lite Drone - Model 247,Home & Kitchen,239.97,0
248,Eco Yoga Mat - Model 248,Books,49.62,7871
249,Wireless Toy Set - Model 249,Electronics,262.89,5576
250,Lite Cookware Set - Model 250,Fashion,375.40,6987
251,Travel Keyboard - Model 251,Electronics,80.23,4836
252,Classic Blender - Model 252,Sports,454.45,7440
253,Travel Vacuum - Model 253,Beauty,196.39,517
254,Compact Keyboard - Model 254,Fashion,162.49,7898
255,Compact Camera - Model 255,Toys,397.24,3382
256,Durable Yoga Mat - Model 256,Sports,36.62,5574
257,Durable Office Chair - Model 257,Electronics,8.93,3161
258,Ultra Air Fryer - Model 258,Office,275.04,5102
259,Smart Router - Model 259,Books,193.56,4228
260,Ultra Water Bottle - Model 260,Books,271.01,7698
261,Compact Speaker - Model 261,Sports,101.26,5523
262,Kids Coffee Maker - Model 262,Office,121.19,7088
263,Travel Yoga Mat - Model 263,Toys,350.55,0
264,Max Sunglasses - Model 264,Office,428.32,6742
265,Compact Drone - Model 265,Sports,7.22,4881
266,Compact Water Bottle - Model 266,Electronics,418.47,5155
267,Compact Desk Lamp - Model 267,Home & Kitchen,300.76,4285
268,Durable Drone - Model 268,Electronics,32.23,7819
269,Ultra Mouse - Model 269,Home & Kitchen,410.09,6217
270,Eco USB Hub - Model 270,Fashion,485.37,2284
271,Pro Notebook - Model 271,Beauty,13.13,887
272,Premium Sunglasses - Model 272,Sports,365.79,2203
273,Kids Headphones - Model 273,Automotive,39.11,3058
274,Ultra Water Bottle - Model 274,Sports,104.28,5490
275,Portable Air Fryer - Model 275,Sports,89.19,7302
276,Ultra Jacket - Model 276,Books,153.89,4967
277,Lite Coffee Maker - Model 277,Electronics,5.12,6939
278,Compact Cookware Set - Model 278,Sports,480.98,3298
279,Wireless Speaker - Model 279,Electronics,154.04,3672
280,Advanced Vacuum - Model 280,Automotive,289.65,540
281,Premium Router - Model 281,Beauty,77.74,4609
282,Wireless Sunglasses - Model 282,Books,10.48,5424
283,Eco Desk Lamp - Model 283,Sports,121.69,1520
284,Durable Protein Bar - Model 284,Toys,23.85,6524
285,Kids Drone - Model 285,Grocery,262.62,3000
286,Wireless Face Serum - Model 286,Toys,345.25,4266
287,Advanced Desk Lamp - Model 287,Automotive,21.45,1384
288,Max Drone - Model 288,Toys,12.55,1455
289,Lite Keyboard - Model 289,Grocery,53.29,6712
290,Premium Drone - Model 290,Toys,292.78,2361
291,Advanced Backpack - Model 291,Automotive,464.86,6625
292,Lite Blender - Model 292,Fashion,61.24,6300
293,Premium Desk Lamp - Model 293,Sports,30.52,6113
294,Max Camera - Model 294,Books,414.13,1374
295,Lite Protein Bar - Model 295,Electronics,494.36,3166
296,Ultra Coffee Maker - Model 296,Office,75.64,4588
297,Lite Coffee Maker - Model 297,Office,6.60,6668
298,Classic Face Serum - Model 298,Sports,42.29,3154
299,Classic Vacuum - Model 299,Automotive,63.91,6361
300,Eco Mouse - Model 300,Home & Kitchen,26.37,3225
301,Travel USB Hub - Model 301,Electronics,918.75,1585
302,Lite Router - Model 302,Home & Kitchen,150.39,7424
303,Travel Camera - Model 303,Fashion,470.24,5011
304,Classic Skincare Kit - Model 304,Automotive,90.67,1742
305,Durable Protein Bar - Model 305,Grocery,8.17,3782
306,Pro Coffee Maker - Model 306,Home & Kitchen,102.32,4774
307,Pro Sunglasses - Model 307,Toys,105.65,6618
308,Classic Drone - Model 308,Fashion,211.87,4823
309,Pro Router - Model 309,Books,293.47,6024
310,Wireless Blender - Model 310,Grocery,27.32,2465
311,Pro USB Hub - Model 311,Toys,88.17,2105
312,Compact USB Hub - Model 312,Automotive,48.58,1951
313,Max Blender - Model 313,Automotive,36.69,3027
314,Travel Camera - Model 314,Electronics,244.66,3285
315,Classic Router - Model 315,Home & Kitchen,401.82,4699
316,Lite Keyboard - Model 316,Toys,449.49,2849
317,Durable Protein Bar - Model 317,Automotive,312.62,6943
318,Max Cookware Set - Model 318,Grocery,4.99,1072
319,Travel Mouse - Model 319,Electronics,288.07,2712
320,Wireless Car Wax - Model 320,Books,313.72,7588
321,Portable Car Charger - Model 321,Books,354.80,2901
322,Ultra Skincare Kit - Model 322,Beauty,53.16,5369
323,Portable Sunglasses - Model 323,Electronics,305.42,5425
324,Durable Keyboard - Model 324,Automotive,108.29,6476
325,Durable Skincare Kit - Model 325,Electronics,439.80,6074
326,Wireless USB Hub - Model 326,Sports,9.81,767
327,Durable Backpack - Model 327,Fashion,115.83,5726
328,Compact Backpack - Model 328,Books,21.71,3236
329,Advanced USB Hub - Model 329,Sports,108.73,3777
330,Classic Sneakers - Model 330,Home & Kitchen,1875.32,4474
331,Smart Blender - Model 331,Fashion,158.27,118
332,Ultra Speaker - Model 332,Beauty,146.54,4733
333,Travel Toy Set - Model 333,Automotive,268.95,4008
334,Durable Cookware Set - Model 334,Automotive,317.64,7165
335,Travel USB Hub - Model 335,Electronics,30.46,56
336,Durable Router - Model 336,Electronics,7.64,1651
337,Compact Office Chair - Model 337,Beauty,310.00,4785
338,Max Sunglasses - Model 338,Home & Kitchen,177.04,0
339,Lite Speaker - Model 339,Toys,90.55,1935
340,Premium Router - Model 340,Electronics,189.91,1857
341,Ultra Vacuum - Model 341,Books,30.13,47
342,Premium Protein Bar - Model 342,Toys,46.94,4185
343,Max Coffee Maker - Model 343,Office,39.19,6896
344,Travel Backpack - Model 344,Beauty,456.71,6886
345,Pro Jacket - Model 345,Automotive,8.01,1570
346,Lite Headphones - Model 346,Books,296.29,5523
347,Ultra Coffee Maker - Model 347,Beauty,77.07,3543
348,Premium Air Fryer - Model 348,Fashion,17.51,5433
349,Ultra Water Bottle - Model 349,Grocery,479.77,414
350,Max Desk Lamp - Model 350,Sports,72.00,7966
351,Kids USB Hub - Model 351,Fashion,190.16,4746
352,Premium Blender - Model 352,Beauty,351.31,5717
353,Smart Jacket - Model 353,Toys,315.78,0
354,Max Coffee Maker - Model 354,Sports,54.37,6018
355,Lite Jacket - Model 355,Office,348.64,6507
356,Kids Headphones - Model 356,Home & Kitchen,27.24,3701
357,Premium Protein Bar - Model 357,Office,121.04,0
358,Lite USB Hub - Model 358,Grocery,68.28,1827
359,Wireless Drone - Model 359,Books,53.70,0
360,Premium Running Socks - Model 360,Grocery,385.86,993
361,Lite Cookware Set - Model 361,Grocery,149.93,6682
362,Max Router - Model 362,Books,213.83,6085
363,Lite Coffee Maker - Model 363,Home & Kitchen,39.72,4482
364,Ultra Face Serum - Model 364,Toys,11.26,2212
365,Portable Yoga Mat - Model 365,Fashion,493.38,0
366,Eco Backpack - Model 366,Sports,31.05,5831
367,Premium Watch - Model 367,Electronics,32.92,2405
368,Kids Yoga Mat - Model 368,Grocery,340.99,3035
369,Premium Vacuum - Model 369,Books,775.28,496
370,Compact Face Serum - Model 370,Office,254.03,6470
371,Portable Speaker - Model 371,Home & Kitchen,263.11,7990
372,Ultra Car Charger - Model 372,Automotive,84.20,5041
373,Max Backpack - Model 373,Automotive,336.36,5132
374,Smart Router - Model 374,Electronics,2278.91,7207
375,Max Jacket - Model 375,Grocery,319.87,4495
376,Pro Desk Lamp - Model 376,Office,8.21,3461
377,Classic Sunglasses - Model 377,Books,166.57,4837
378,Kids Protein Bar - Model 378,Office,466.67,5166
379,Smart Drone - Model 379,Office,382.23,1425
380,Durable Camera - Model 380,Grocery,450.16,7103
381,Wireless Face Serum - Model 381,Books,101.06,6318
382,Durable Face Serum - Model 382,Beauty,178.65,5545
383,Kids Desk Lamp - Model 383,Office,100.61,6058
384,Portable Running Socks - Model 384,Fashion,111.17,4192
385,Kids Sunglasses - Model 385,Fashion,5.57,2454
386,Durable Toy Set - Model 386,Beauty,314.68,7663
387,Travel Car Charger - Model 387,Sports,85.01,6418
388,Classic Coffee Maker - Model 388,Automotive,104.38,4352
389,Smart Mouse - Model 389,Office,423.66,7765
390,Portable Car Wax - Model 390,Automotive,118.99,0
391,Portable Jacket - Model 391,Electronics,378.91,4883
392,Pro Notebook - Model 392,Grocery,5.89,4346
393,Durable Camera - Model 393,Fashion,183.59,5970
394,Ultra Desk Lamp - Model 394,Sports,126.41,3109
395,Pro Sunglasses - Model 395,Books,10.58,180
396,Premium Office Chair - Model 396,Toys,166.99,3422
397,Portable Skincare Kit - Model 397,Automotive,5.62,7972
398,Ultra Car Charger - Model 398,Sports,26.13,7766
399,Max Toy Set - Model 399,Books,464.22,734
400,Smart Skincare Kit - Model 400,Grocery,330.85,3552
401,Compact Monitor - Model 401,Books,53.09,2925
402,Lite Notebook - Model 402,Fashion,24.44,2749
403,Classic Toy Set - Model 403,Automotive,283.94,7788
404,Eco Air Fryer - Model 404,Toys,108.66,2316
405,Portable Protein Bar - Model 405,Grocery,1899.56,1656
406,Wireless Toy Set - Model 406,Automotive,94.87,2538
407,Pro Car Charger - Model 407,Automotive,54.94,3932
408,Portable Water Bottle - Model 408,Automotive,32.60,505
409,Max Drone - Model 409,Home & Kitchen,179.51,4296
410,Wireless Router - Model 410,Beauty,379.38,5037
411,Travel Mouse - Model 411,Beauty,297.50,3728
412,Ultra Notebook - Model 412,Sports,13.86,6541
413,Smart Running Socks - Model 413,Beauty,17.61,5507
414,Classic Office Chair - Model 414,Books,123.26,0
415,Classic Skincare Kit - Model 415,Books,130.45,0
416,Ultra Headphones - Model 416,Home & Kitchen,273.78,1323
417,Portable Blender - Model 417,Books,5.10,2259
418,Wireless Watch - Model 418,Sports,31.56,0
419,Lite Vacuum - Model 419,Books,13.80,7573
420,Classic Protein Bar - Model 420,Sports,169.16,1540
421,Max Air Fryer - Model 421,Office,326.21,7385
422,Travel Protein Bar - Model 422,Grocery,110.75,5238
423,Ultra Running Socks - Model 423,Home & Kitchen,440.18,0
424,Premium Sneakers - Model 424,Home & Kitchen,438.42,7248
425,Compact Car Wax - Model 425,Sports,59.91,3999
426,Portable Drone - Model 426,Fashion,11.79,247
427,Advanced Skincare Kit - Model 427,Automotive,14.04,883
428,Portable Backpack - Model 428,Automotive,108.03,3289
429,Kids Camera - Model 429,Books,115.37,7719
430,Premium Cookware Set - Model 430,Electronics,30.07,6602
431,Portable Car Charger - Model 431,Books,8.06,4603
432,Kids Keyboard - Model 432,Automotive,149.42,7859
433,Compact USB Hub - Model 433,Toys,484.03,580
434,Premium Air Fryer - Model 434,Toys,155.95,530
435,Eco Drone - Model 435,Grocery,432.34,878
436,Classic Desk Lamp - Model 436,Electronics,94.69,397
437,Durable Skincare Kit - Model 437,Beauty,47.08,1353
438,Lite Jacket - Model 438,Home & Kitchen,326.00,4633
439,Max Cookware Set - Model 439,Beauty,1780.38,1969
440,Ultra Car Wax - Model 440,Books,22.36,3553
441,Travel Camera - Model 441,Office,2364.96,2994
442,Max USB Hub - Model 442,Beauty,227.36,2203
443,Kids Keyboard - Model 443,Automotive,460.46,6665
444,Ultra Backpack - Model 444,Books,390.76,2165
445,Lite Water Bottle - Model 445,Toys,86.76,5706
446,Kids Car Charger - Model 446,Fashion,153.54,965
447,Eco Sneakers - Model 447,Electronics,158.40,7327
448,Smart Headphones - Model 448,Sports,59.05,5518
449,Portable Face Serum - Model 449,Electronics,170.08,0
450,Durable Keyboard - Model 450,Sports,222.47,2776
451,Pro Watch - Model 451,Electronics,19.19,3983
452,Compact Notebook - Model 452,Grocery,41.44,4307
453,Advanced Backpack - Model 453,Electronics,379.10,1260
454,Max USB Hub - Model 454,Books,130.28,3153
455,Durable Blender - Model 455,Sports,271.11,3979
456,Wireless Office Chair - Model 456,Office,92.53,4334
457,Smart Skincare Kit - Model 457,Home & Kitchen,188.45,6431
458,Eco Running Socks - Model 458,Automotive,22.78,6730
459,Max Blender - Model 459,Sports,12.64,5550
460,Durable Keyboard - Model 460,Sports,327.17,4693
461,Travel Router - Model 461,Fashion,147.83,5234
462,Advanced Face Serum - Model 462,Electronics,7.46,3504
463,Wireless Coffee Maker - Model 463,Grocery,458.88,6788
464,Durable Cookware Set - Model 464,Office,26.23,1724
465,Premium Sunglasses - Model 465,Home & Kitchen,191.56,7179
466,Advanced Water Bottle - Model 466,Grocery,114.23,0
467,Smart Face Serum - Model 467,Home & Kitchen,430.61,4109
468,Durable Vacuum - Model 468,Home & Kitchen,80.86,229
469,Travel Router - Model 469,Grocery,277.39,0
470,Pro Skincare Kit - Model 470,Toys,155.05,2871
471,Smart Skincare Kit - Model 471,Books,190.12,2775
472,Pro Sneakers - Model 472,Books,30.72,6558
473,Pro Desk Lamp - Model 473,Books,7.62,5091
474,Travel Mouse - Model 474,Beauty,367.25,904
475,Durable Desk Lamp - Model 475,Fashion,359.82,7448
476,Max Monitor - Model 476,Books,402.39,2641
477,Eco Speaker - Model 477,Toys,229.25,2100
478,Premium Cookware Set - Model 478,Books,53.72,1854
479,Advanced Drone - Model 479,Fashion,130.32,6898
480,Ultra Office Chair - Model 480,Fashion,449.44,3105
481,Eco Monitor - Model 481,Fashion,176.97,7668
482,Pro Keyboard - Model 482,Grocery,13.77,4889
483,Compact Vacuum - Model 483,Fashion,248.16,4033
484,Durable Sneakers - Model 484,Toys,295.90,1508
485,Portable Router - Model 485,Fashion,274.87,6323
486,Wireless Desk Lamp - Model 486,Beauty,58.60,184
487,Wireless Watch - Model 487,Home & Kitchen,239.95,2642
488,Eco USB Hub - Model 488,Automotive,194.85,1744
489,Pro Air Fryer - Model 489,Sports,455.65,1829
490,Smart USB Hub - Model 490,Beauty,220.09,2315
491,Advanced Backpack - Model 491,Toys,176.32,6407
492,Advanced USB Hub - Model 492,Toys,62.30,7811
493,Portable Monitor - Model 493,Electronics,75.48,2669
494,Advanced USB Hub - Model 494,Toys,244.66,0
495,Advanced Watch - Model 495,Grocery,5.47,7681
496,Ultra Skincare Kit - Model 496,Fashion,223.20,1083
497,Kids Jacket - Model 497,Home & Kitchen,431.06,4424
498,Premium Speaker - Model 498,Fashion,92.74,5170
499,Durable Car Wax - Model 499,Sports,369.59,7325
500,Durable Sunglasses - Model 500,Office,5.50,3792
501,Ultra Blender - Model 501,Electronics,5.94,4722
502,Smart Backpack - Model 502,Fashion,269.33,0
