SHIPMENT_ID,ORDER_ID,SHIPPED_DATE,DELIVERY_DATE,STATUS
245,231,2025-06-02,2025-06-10,RETURNED
246,231,2025-06-02,2025-06-03,RETURNED
247,232,2025-03-19,,SHIPPED
248,233,2024-05-07,,PACKED
249,234,2025-03-14,,PACKED
250,235,2024-01-09,,IN_TRANSIT
251,236,2024-07-12,2024-07-17,DELIVERED
252,237,2025-10-23,2025-10-29,DELIVERED
253,238,2023-06-07,,IN_TRANSIT
254,239,2025-10-18,,IN_TRANSIT
255,241,2023-09-01,,SHIPPED
256,242,,,
257,243,,,
258,244,2023-05-17,,SHIPPED
259,245,2025-02-16,,SHIPPED
260,246,2024-05-13,,PACKED
261,247,2025-03-01,,SHIPPED
262,248,2023-01-07,2023-01-17,DELIVERED
263,249,2024-07-10,2024-07-16,DELIVERED
264,250,2025-09-23,2025-09-30,RETURNED
265,251,2025-05-29,2025-06-01,DELIVERED
266,251,2025-05-29,2025-06-03,DELIVERED
267,252,2025-05-09,2025-05-15,RETURNED
268,253,2025-11-10,,PACKED
269,254,2024-05-07,2024-05-10,DELIVERED
270,255,2024-11-05,,SHIPPED
271,256,2023-05-11,2023-05-15,RETURNED
272,256,2023-05-14,2023-05-24,RETURNED
273,256,2023-05-12,2023-05-21,RETURNED
274,257,2024-10-18,2024-10-19,DELIVERED
275,258,2025-09-07,,PACKED
276,259,,,
277,260,2023-02-15,2023-02-19,RETURNED
278,261,2023-04-15,2023-05-03,DELIVERED
279,261,2023-04-16,2023-04-22,DELIVERED
280,262,2025-07-18,,PACKED
281,263,,,CANCELLED
282,264,2025-05-06,2025-05-09,DELIVERED
283,265,2025-06-21,2025-06-26,DELIVERED
284,266,2023-03-20,2023-03-30,DELIVERED
285,267,2025-11-21,2025-11-28,DELIVERED
286,268,2024-09-21,,SHIPPED
287,268,2024-09-19,,IN_TRANSIT
288,269,,,CANCELLED
289,270,2024-08-15,,SHIPPED
290,271,2025-07-19,2025-08-07,DELIVERED
291,271,2025-07-18,2025-07-24,DELIVERED
292,271,2025-07-18,2025-07-23,DELIVERED
293,272,2024-08-20,,SHIPPED
294,273,2023-11-12,2023-11-20,DELIVERED
295,274,2025-05-07,2025-05-10,DELIVERED
296,275,2024-05-31,,SHIPPED
297,276,2024-12-07,2024-12-12,RETURNED
298,277,2025-09-11,2025-09-12,DELIVERED
299,278,2024-09-15,2024-09-16,DELIVERED
300,279,2024-02-12,2024-02-14,DELIVERED
301,280,2023-12-31,2024-01-08,DELIVERED
302,282,2025-02-15,,IN_TRANSIT
303,283,2023-01-13,2023-01-15,RETURNED
304,283,2023-01-12,2023-01-13,RETURNED
305,283,2023-01-14,2023-01-19,RETURNED
306,284,2025-10-10,,SHIPPED
307,285,2025-08-10,2025-08-12,DELIVERED
308,285,2025-08-09,2025-08-17,DELIVERED
309,286,2023-09-27,,SHIPPED
310,287,2025-04-24,,IN_TRANSIT
311,287,2025-04-22,,SHIPPED
312,287,2025-04-23,,SHIPPED
313,288,2024-02-20,,IN_TRANSIT
314,290,2025-05-14,,PACKED
315,291,2024-02-27,2024-03-03,RETURNED
316,292,2024-01-06,,IN_TRANSIT
317,293,,,
318,294,2025-03-02,,IN_TRANSIT
319,294,2025-03-03,,IN_TRANSIT
320,295,2023-09-20,,PACKED
321,296,2024-02-04,2024-02-14,DELIVERED
322,297,2024-12-27,2024-12-30,DELIVERED
323,298,2023-08-10,2023-08-13,DELIVERED
324,299,2025-11-29,2025-12-02,DELIVERED
325,300,2024-05-11,2024-05-12,DELIVERED
326,300,2024-05-11,2024-05-17,DELIVERED
327,302,2025-12-07,2025-12-10,RETURNED
328,303,2023-02-08,,IN_TRANSIT
329,303,2023-02-09,,SHIPPED
330,304,2024-11-03,2024-11-11,DELIVERED
331,305,2025-01-27,2025-01-30,DELIVERED
332,306,,,
333,307,2023-04-02,,IN_TRANSIT
334,308,2025-05-18,2025-05-25,DELIVERED
335,308,2025-05-20,2025-06-03,DELIVERED
336,309,2024-02-09,2024-02-26,DELIVERED
337,310,2024-09-12,,SHIPPED
338,311,,,
339,312,2024-09-08,2024-09-09,DELIVERED
340,312,2024-09-08,2024-09-14,DELIVERED
341,313,2023-03-02,,IN_TRANSIT
342,314,2025-08-02,2025-08-07,DELIVERED
343,315,2023-07-04,,SHIPPED
344,316,2025-10-19,2025-10-20,DELIVERED
345,317,2023-09-21,2023-09-25,RETURNED
346,317,2023-09-23,2023-09-24,RETURNED
347,317,2023-09-21,2023-09-24,RETURNED
348,318,2024-12-21,,PACKED
349,319,,,CANCELLED
350,320,2023-07-29,2023-08-03,DELIVERED
351,321,2025-07-09,,PACKED
352,322,2024-06-21,2024-07-03,DELIVERED
353,322,2024-06-23,2024-06-24,DELIVERED
354,323,2025-08-01,2025-08-11,DELIVERED
355,324,2025-08-21,,SHIPPED
356,325,2025-07-25,2025-08-04,DELIVERED
357,326,2023-08-12,2023-08-19,DELIVERED
358,327,,,
359,328,2024-04-11,2024-04-18,DELIVERED
360,329,2024-08-17,,PACKED
361,330,2024-04-14,,IN_TRANSIT
362,331,2025-12-29,2026-01-08,DELIVERED
363,331,2025-12-28,2025-12-29,DELIVERED
364,332,2025-04-03,2025-04-10,DELIVERED
365,332,2025-04-01,2025-04-05,DELIVERED
366,333,2024-05-13,2024-05-20,DELIVERED
367,333,2024-05-16,2024-05-19,DELIVERED
368,334,2024-11-11,,IN_TRANSIT
369,335,2025-07-08,,SHIPPED
370,336,2023-11-10,2023-11-18,DELIVERED
371,336,2023-11-10,2023-11-19,DELIVERED
372,337,2025-05-01,,PACKED
373,340,2025-01-10,2025-01-12,DELIVERED
374,341,2024-06-09,,PACKED
375,342,2023-09-30,2023-10-10,DELIVERED
376,343,2024-04-04,,IN_TRANSIT
377,344,2025-08-02,,IN_TRANSIT
378,345,2025-09-07,,IN_TRANSIT
379,346,2025-08-19,,IN_TRANSIT
380,346,2025-08-19,,IN_TRANSIT
381,346,2025-08-17,,SHIPPED
382,347,2024-04-25,2024-04-27,DELIVERED
383,348,2025-04-05,,IN_TRANSIT
384,348,2025-04-06,,SHIPPED
385,349,2023-12-09,2023-12-14,DELIVERED
386,350,,,
387,351,2024-03-05,2024-03-13,DELIVERED
388,352,2023-08-08,,PACKED
389,353,2025-06-01,2025-06-11,DELIVERED
390,354,2023-06-14,,IN_TRANSIT
391,355,2025-02-02,2025-02-05,DELIVERED
392,356,2024-03-29,,IN_TRANSIT
393,357,2025-03-04,,IN_TRANSIT
394,357,2025-03-04,,SHIPPED
395,358,,,
396,359,2025-06-01,,PACKED
397,360,2023-04-26,2023-04-29,DELIVERED
398,361,2023-05-03,2023-05-05,DELIVERED
399,362,2024-06-13,2024-06-20,DELIVERED
400,362,2024-06-12,2024-06-14,DELIVERED
401,362,2024-06-13,2024-06-18,DELIVERED
402,363,2024-02-01,,SHIPPED
403,364,2025-02-20,,PACKED
404,365,2025-10-25,2025-11-01,DELIVERED
405,365,2025-10-26,2025-11-04,DELIVERED
406,365,2025-10-24,2025-10-26,DELIVERED
407,366,2023-04-11,2023-04-14,DELIVERED
408,367,2023-06-27,,SHIPPED
409,368,2024-01-08,,PACKED
410,369,2023-05-26,2023-05-28,DELIVERED
411,370,2024-01-02,2024-01-05,DELIVERED
412,370,2024-01-02,2024-01-08,DELIVERED
413,370,2024-01-02,2024-01-05,DELIVERED
414,371,2023-01-16,2023-01-18,RETURNED
415,372,2023-07-13,,SHIPPED
416,373,2025-02-21,,SHIPPED
417,374,2023-01-19,,SHIPPED
418,375,2023-12-20,2023-12-29,DELIVERED
419,376,2024-10-21,,PACKED
420,377,2023-03-09,2023-03-14,DELIVERED
421,378,2025-12-27,,PACKED
422,380,2023-10-15,2023-10-23,DELIVERED
423,381,2023-11-14,2023-11-17,DELIVERED
424,382,,,
425,383,,,
426,384,2023-10-02,,PACKED
427,386,2023-11-07,2023-11-13,DELIVERED
428,387,2023-09-06,,IN_TRANSIT
429,388,2024-02-06,,IN_TRANSIT
430,389,2023-05-03,,IN_TRANSIT
431,389,2023-05-01,,IN_TRANSIT
432,390,2025-11-05,,SHIPPED
433,391,2024-04-08,2024-04-12,DELIVERED
434,392,2024-05-14,,IN_TRANSIT
435,393,2025-04-02,2025-04-12,DELIVERED
436,394,2023-08-29,2023-09-07,DELIVERED
437,394,2023-08-31,2023-09-08,DELIVERED
438,395,2025-11-16,,IN_TRANSIT
439,396,2024-12-15,2024-12-21,DELIVERED
440,397,2024-06-09,,SHIPPED
441,398,,,
442,399,2024-02-23,2024-03-07,DELIVERED
443,399,2024-02-22,2024-02-26,DELIVERED
444,400,2023-02-06,2023-02-08,DELIVERED
445,401,2025-05-10,,IN_TRANSIT
446,402,2024-05-16,,SHIPPED
447,403,2023-12-10,2023-12-20,DELIVERED
448,404,2025-07-15,,IN_TRANSIT
449,405,2024-05-27,2024-06-04,DELIVERED
450,406,2025-04-01,2025-04-05,DELIVERED
451,407,2024-09-02,,SHIPPED
452,408,2024-12-25,2024-12-26,DELIVERED
453,409,2023-03-26,,PACKED
454,410,2025-03-28,2025-04-05,DELIVERED
455,411,2023-10-18,,IN_TRANSIT
456,412,2024-02-21,,SHIPPED
457,412,2024-02-22,,IN_TRANSIT
458,413,2024-01-20,2024-02-04,DELIVERED
459,413,2024-01-21,2024-01-22,DELIVERED
460,414,2025-06-05,,SHIPPED
461,415,2023-09-19,2023-09-29,DELIVERED
462,415,2023-09-19,2023-09-29,DELIVERED
463,415,2023-09-22,2023-09-28,DELIVERED
464,416,2023-05-28,,SHIPPED
465,417,2025-07-26,,PACKED
466,418,2025-08-01,,PACKED
467,419,2023-04-21,,IN_TRANSIT
468,420,2023-06-21,2023-06-28,DELIVERED
469,421,2025-03-16,,PACKED
470,422,2024-10-30,2024-11-02,DELIVERED
471,423,2024-06-23,,PACKED
472,424,2025-07-22,2025-07-28,DELIVERED
473,425,2023-07-13,2023-07-14,RETURNED
474,426,2025-10-22,2025-10-23,DELIVERED
475,427,2025-05-04,,IN_TRANSIT
476,428,2024-10-17,2024-10-25,DELIVERED
477,429,2025-12-03,2025-12-11,RETURNED
478,430,2025-03-31,2025-04-01,DELIVERED
479,431,2023-10-10,2023-10-24,DELIVERED
480,432,2024-08-21,2024-08-26,DELIVERED
481,433,2025-05-22,2025-05-24,DELIVERED
482,434,2023-12-16,,PACKED
483,435,2025-02-26,,IN_TRANSIT
484,436,2025-07-13,2025-07-19,DELIVERED
485,437,2024-12-12,,IN_TRANSIT
486,438,2024-09-21,,IN_TRANSIT
487,439,2025-12-22,2025-12-25,DELIVERED
488,440,2025-10-07,2025-10-10,DELIVERED
489,440,2025-10-09,2025-10-10,DELIVERED
490,440,2025-10-08,2025-10-11,DELIVERED
491,441,2023-02-27,,PACKED
492,442,2024-02-18,2024-03-04,DELIVERED
493,443,2025-06-18,,IN_TRANSIT
494,444,2024-07-10,,IN_TRANSIT
495,445,2023-12-18,2023-12-27,DELIVERED
496,446,2025-02-13,2025-02-22,DELIVERED
497,447,2025-01-11,,SHIPPED
498,448,2025-01-22,,IN_TRANSIT
499,449,2024-05-19,2024-05-28,RETURNED
500,450,2023-08-26,2023-08-27,DELIVERED
501,451,2024-04-10,2024-04-13,DELIVERED
502,451,2024-04-09,2024-04-22,DELIVERED
503,451,2024-04-09,2024-04-18,DELIVERED
504,452,2024-10-30,2024-11-07,DELIVERED
505,453,2023-05-12,2023-05-20,DELIVERED
506,454,,,
507,455,2023-09-20,,SHIPPED
508,456,2023-05-17,2023-05-25,DELIVERED
509,457,2024-06-05,,SHIPPED
510,458,2025-06-14,2025-06-15,RETURNED
511,459,2023-03-05,,PACKED
512,460,2025-08-16,,IN_TRANSIT
513,461,2024-04-05,2024-04-14,DELIVERED
514,463,2025-07-02,,IN_TRANSIT
515,464,,,
516,465,2025-04-08,,IN_TRANSIT
517,466,2023-01-09,2023-01-22,DELIVERED
518,467,2023-10-20,,PACKED
519,468,2025-01-24,2025-01-27,DELIVERED
520,468,2025-01-24,2025-01-25,DELIVERED
521,469,2023-11-13,2023-11-14,DELIVERED
522,470,2023-10-18,2023-10-27,RETURNED
523,470,2023-10-18,2023-10-24,RETURNED
524,470,2023-10-18,2023-10-22,RETURNED
525,471,2023-08-14,2023-08-24,DELIVERED
526,472,2025-02-15,2025-02-17,DELIVERED
527,473,2025-11-13,,PACKED
528,474,2025-03-29,,IN_TRANSIT
529,475,2024-01-14,2024-01-20,DELIVERED
530,476,2023-03-04,,IN_TRANSIT
531,477,2024-05-14,2024-05-21,DELIVERED
532,477,2024-05-16,2024-05-25,DELIVERED
533,478,2024-01-14,2024-01-21,DELIVERED
534,479,2023-10-26,,PACKED
535,480,2023-09-22,2023-10-03,DELIVERED
536,480,2023-09-21,2023-09-23,DELIVERED
537,481,,,
538,482,2024-06-14,2024-06-16,DELIVERED
539,483,2025-11-19,2025-11-25,RETURNED
540,483,2025-11-19,2025-11-25,RETURNED
541,484,2025-10-26,2025-10-27,RETURNED
542,485,2025-10-16,,SHIPPED
543,485,2025-10-16,,SHIPPED
544,486,2024-07-03,2024-07-10,DELIVERED
545,488,2025-03-17,,IN_TRANSIT
546,489,2025-05-06,2025-05-16,RETURNED
547,491,2024-09-29,2024-10-01,DELIVERED
548,492,2024-06-19,2024-06-21,DELIVERED
549,492,2024-06-18,2024-06-21,DELIVERED
550,493,2023-02-19,,SHIPPED
551,494,2025-06-23,,SHIPPED
552,495,2024-07-29,,PACKED
553,496,2024-08-20,,IN_TRANSIT
554,497,2025-12-21,,IN_TRANSIT
555,498,,,
556,499,2025-12-12,,IN_TRANSIT
557,500,2023-03-24,,PACKED
558,501,2025-08-28,,PACKED
559,502,,,
560,503,2024-01-30,2024-01-31,DELIVERED
561,504,2024-06-01,,SHIPPED
562,505,2024-01-16,,IN_TRANSIT
563,506,2023-05-15,2023-05-16,DELIVERED
564,507,,,
565,508,,,
566,509,2025-09-04,,SHIPPED
567,510,2023-04-11,,PACKED
568,511,2025-05-18,,IN_TRANSIT
569,512,2025-03-06,2025-03-14,DELIVERED
570,513,2023-11-19,,PACKED
571,514,2025-02-02,,IN_TRANSIT
572,516,2023-02-23,,SHIPPED
573,518,2023-12-07,2023-12-15,RETURNED
574,519,2025-09-19,,PACKED
575,520,2024-08-13,2024-08-16,RETURNED
576,521,2024-11-05,2024-11-07,DELIVERED
577,522,2025-10-19,,PACKED
578,523,2024-04-05,2024-04-14,DELIVERED
579,524,2025-11-23,,IN_TRANSIT
580,525,2023-09-07,,PACKED
581,526,2023-03-09,,IN_TRANSIT
582,527,2024-10-15,2024-10-25,DELIVERED
583,528,,,CANCELLED
584,529,2024-01-01,2024-01-11,RETURNED
585,530,2025-09-15,2025-09-19,DELIVERED
586,532,2025-09-27,,SHIPPED
587,533,2024-08-26,2024-09-03,DELIVERED
588,534,2025-01-24,2025-01-26,DELIVERED
589,534,2025-01-25,2025-02-02,DELIVERED
590,535,2023-06-13,,PACKED
591,536,2024-11-04,,IN_TRANSIT
592,537,2023-02-27,,PACKED
593,538,2023-05-01,,SHIPPED
594,539,2024-05-03,,IN_TRANSIT
595,539,2024-05-03,,IN_TRANSIT
596,539,2024-05-04,,IN_TRANSIT
597,540,2024-07-23,,SHIPPED
598,541,2023-01-13,2023-01-23,DELIVERED
599,542,2025-02-03,2025-02-09,DELIVERED
600,543,2025-04-20,,IN_TRANSIT
601,544,2025-04-01,2025-04-02,DELIVERED
602,545,2025-04-28,2025-05-06,DELIVERED
603,546,2024-01-24,2024-01-26,DELIVERED
604,547,2023-08-08,2023-08-12,DELIVERED
605,548,2025-11-27,,IN_TRANSIT
606,549,2024-05-18,2024-05-23,DELIVERED
607,550,2024-01-14,2024-02-02,DELIVERED
608,550,2024-01-17,2024-01-18,DELIVERED
609,550,2024-01-15,2024-01-23,DELIVERED
610,551,,,
611,552,2023-10-01,2023-10-15,DELIVERED
612,552,2023-09-30,2023-10-05,DELIVERED
613,553,2025-02-28,2025-03-10,DELIVERED
614,554,2025-09-08,2025-09-14,DELIVERED
615,556,2024-05-06,2024-05-16,DELIVERED
616,557,2025-11-23,2025-12-02,DELIVERED
617,558,2023-10-21,,SHIPPED
618,559,2025-07-29,,SHIPPED
619,560,2025-11-07,,SHIPPED
620,561,2025-08-26,2025-09-02,DELIVERED
621,562,2023-07-02,,SHIPPED
622,563,,,
623,564,2023-04-03,2023-04-05,DELIVERED
624,564,2023-04-04,2023-04-05,DELIVERED
625,564,2023-04-04,2023-04-07,DELIVERED
626,565,2023-11-19,2023-11-24,DELIVERED
627,566,,,
628,567,2025-04-26,2025-04-30,RETURNED
629,568,2024-02-16,,PACKED
630,569,2025-06-05,2025-06-10,DELIVERED
631,571,2025-06-07,,IN_TRANSIT
632,572,2024-07-12,2024-07-17,DELIVERED
633,573,2023-04-11,2023-04-21,RETURNED
634,574,2024-11-03,,IN_TRANSIT
635,575,2024-11-24,2024-12-04,DELIVERED
636,576,2024-05-23,,IN_TRANSIT
637,577,2024-04-10,2024-04-19,RETURNED
638,578,2023-09-08,,PACKED
639,579,2025-04-11,2025-04-16,RETURNED
640,579,2025-04-14,2025-04-15,RETURNED
641,579,2025-04-13,2025-04-22,RETURNED
642,580,2023-02-10,2023-02-14,DELIVERED
643,580,2023-02-10,2023-02-14,DELIVERED
644,580,2023-02-11,2023-02-16,DELIVERED
645,581,2023-02-19,2023-02-26,RETURNED
646,582,2025-02-04,2025-02-09,DELIVERED
